State,Date,Total Cases
Florida,Aug 27 2021,3200682
Florida,Aug 26 2021,3179493
Florida,Aug 25 2021,3151909
Florida,Aug 24 2021,3130726
Florida,Aug 23 2021,3104341
Florida,Aug 22 2021,3083018
Florida,Aug 21 2021,3068327
Florida,Aug 20 2021,3050258
Florida,Aug 19 2021,3027991
Florida,Aug 18 2021,3003485
Florida,Aug 17 2021,2978979
Florida,Aug 16 2021,2955458
Florida,Aug 15 2021,2933715
Florida,Aug 14 2021,2916493
Florida,Aug 13 2021,2900056
Florida,Aug 12 2021,2877752
Florida,Aug 11 2021,2851797
Florida,Aug 10 2021,2827888
Florida,Aug  9 2021,2803130
Florida,Aug  8 2021,2782660
Florida,Aug  7 2021,2767347
Florida,Aug  6 2021,2747785
Florida,Aug  5 2021,2726287
Florida,Aug  4 2021,2702153
Florida,Aug  3 2021,2679377
Florida,Aug  2 2021,2659160
Florida,Aug  1 2021,2642089
Florida,Jul 31 2021,2628936
Florida,Jul 30 2021,2611179
Florida,Jul 29 2021,2591399
Florida,Jul 28 2021,2569690
Florida,Jul 27 2021,2552707
Florida,Jul 26 2021,2535208
Florida,Jul 25 2021,2519149
Florida,Jul 24 2021,2508854
Florida,Jul 23 2021,2495793
Florida,Jul 22 2021,2480944
Florida,Jul 21 2021,2466675
Florida,Jul 20 2021,2453283
Florida,Jul 19 2021,2441503
Florida,Jul 18 2021,2432200
Florida,Jul 17 2021,2425004
Florida,Jul 16 2021,2417009
Florida,Jul 15 2021,2407772
Florida,Jul 14 2021,2399209
Florida,Jul 13 2021,2390926
Florida,Jul 12 2021,2383884
Florida,Jul 11 2021,2377409
Florida,Jul 10 2021,2372849
Florida,Jul  9 2021,2367776
Florida,Jul  8 2021,2362249
Florida,Jul  7 2021,2356734
Florida,Jul  6 2021,2351889
Florida,Jul  5 2021,2347942
Florida,Jul  4 2021,2346230
Florida,Jul  3 2021,2344444
Florida,Jul  2 2021,2341971
Florida,Jul  1 2021,2338808
Florida,Jun 30 2021,2335912
Florida,Jun 29 2021,2333027
Florida,Jun 28 2021,2330574
Florida,Jun 27 2021,2328252
Florida,Jun 26 2021,2326734
Florida,Jun 25 2021,2324934
Florida,Jun 24 2021,2322813
Florida,Jun 23 2021,2320916
