State,Date,Total Cases
Florida,Aug 29 2021,3231846
Florida,Aug 28 2021,3218824
Florida,Aug 27 2021,3201134
Florida,Aug 26 2021,3179752
Florida,Aug 25 2021,3151950
Florida,Aug 24 2021,3130500
Florida,Aug 23 2021,3104141
Florida,Aug 22 2021,3082829
Florida,Aug 21 2021,3068144
Florida,Aug 20 2021,3050081
Florida,Aug 19 2021,3027819
Florida,Aug 18 2021,3003315
Florida,Aug 17 2021,2978811
Florida,Aug 16 2021,2955289
Florida,Aug 15 2021,2933550
Florida,Aug 14 2021,2916330
Florida,Aug 13 2021,2899894
Florida,Aug 12 2021,2877593
Florida,Aug 11 2021,2851644
Florida,Aug 10 2021,2827738
Florida,Aug  9 2021,2802985
Florida,Aug  8 2021,2782516
Florida,Aug  7 2021,2767207
Florida,Aug  6 2021,2747650
Florida,Aug  5 2021,2726152
Florida,Aug  4 2021,2702021
Florida,Aug  3 2021,2679248
Florida,Aug  2 2021,2659034
Florida,Aug  1 2021,2641964
Florida,Jul 31 2021,2628812
Florida,Jul 30 2021,2611054
Florida,Jul 29 2021,2591275
Florida,Jul 28 2021,2569567
Florida,Jul 27 2021,2552585
Florida,Jul 26 2021,2535087
Florida,Jul 25 2021,2519032
Florida,Jul 24 2021,2508738
Florida,Jul 23 2021,2495683
Florida,Jul 22 2021,2480834
Florida,Jul 21 2021,2466566
Florida,Jul 20 2021,2453176
Florida,Jul 19 2021,2441403
Florida,Jul 18 2021,2432108
Florida,Jul 17 2021,2424928
Florida,Jul 16 2021,2416936
Florida,Jul 15 2021,2407700
Florida,Jul 14 2021,2399144
Florida,Jul 13 2021,2390871
Florida,Jul 12 2021,2383832
Florida,Jul 11 2021,2377358
Florida,Jul 10 2021,2372799
Florida,Jul  9 2021,2367726
Florida,Jul  8 2021,2362201
Florida,Jul  7 2021,2356706
Florida,Jul  6 2021,2351861
Florida,Jul  5 2021,2347914
Florida,Jul  4 2021,2346202
Florida,Jul  3 2021,2344416
Florida,Jul  2 2021,2341943
Florida,Jul  1 2021,2338779
Florida,Jun 30 2021,2335884
Florida,Jun 29 2021,2332999
Florida,Jun 28 2021,2330546
Florida,Jun 27 2021,2328226
Florida,Jun 26 2021,2326707
Florida,Jun 25 2021,2324907
Florida,Jun 24 2021,2322786
Florida,Jun 23 2021,2320889
Florida,Jun 22 2021,2318968
